ascension_code,level,code,name,polarity,export_pct,as_submitted_pct,corrected_pct,export_eq_submitted,submitted_vs_corrected_delta
26012,question,A1,"In this unit, we work together as an effective team.",pos,87.9,87.9,87.9,yes,0.0
26012,question,A2,"In this unit, we have enough staff to handle the workload.",pos,58.1,58.1,58.1,yes,0.0
26012,question,A3,Staff in this unit work longer hours than is best for patient care.,neg,16.3,16.3,56.5,yes,40.2
26012,question,A4,This unit regularly reviews work processes to determine if changes are needed to improve patient safety.,pos,75.2,75.2,75.2,yes,0.0
26012,question,A5,"This unit relies too much on temporary, float, or PRN staff.",neg,17.4,17.4,61.7,yes,44.3
26012,question,A6,"In this unit, staff feel like their mistakes are held against them.",neg,14.1,14.1,61.4,yes,47.3
26012,question,A7,"When an event is reported in this unit, it feels like the person is being written up, not the problem.",neg,16.3,16.3,59.6,yes,43.3
26012,question,A8,"During busy times, staff in this unit help each other.",pos,89.6,89.6,89.6,yes,0.0
26012,question,A9,There is a problem with disrespectful behavior by those working in this unit.,neg,14.9,14.9,68.4,yes,53.5
26012,question,A10,"When staff make errors, this unit focuses on learning rather than blaming individuals.",pos,70.3,70.3,70.3,yes,0.0
26012,question,A11,The work pace in this unit is so rushed that it negatively affects patient safety.,neg,21.9,21.9,55.9,yes,34.0
26012,question,A12,"In this unit, changes to improve patient safety are evaluated to see how well they worked.",pos,69.8,69.8,69.8,yes,0.0
26012,question,A13,"In this unit, there is a lack of support for staff involved in patient safety errors.",neg,10.8,10.8,63.9,yes,53.1
26012,question,A14,This unit lets the same patient safety problems keep happening.,neg,9.4,9.4,71.6,yes,62.2
26012,question,B1,"My supervisor, manager, or clinical leader seriously considers staff suggestions for improving patient safety.",pos,81.2,81.2,81.2,yes,0.0
26012,question,B2,"My supervisor, manager, or clinical leader wants us to work faster during busy times, even if it means taking shortcuts.",neg,7.7,7.7,80.2,yes,72.5
26012,question,B3,"My supervisor, manager, or clinical leader takes action to address patient safety concerns that are brought to their attention.",pos,84.2,84.2,84.2,yes,0.0
26012,question,C1,We are informed about errors that happen in this unit.,pos,74.7,74.7,74.7,yes,0.0
26012,question,C2,"When errors happen in this unit, we discuss ways to prevent them from happening again.",pos,77.9,77.9,77.9,yes,0.0
26012,question,C3,"In this unit, we are informed about changes that are made based on event reports.",pos,75.2,75.2,75.2,yes,0.0
26012,question,C4,"In this unit, staff speak up if they see something that may negatively affect patient care.",pos,84.9,84.9,84.9,yes,0.0
26012,question,C5,"When staff in this unit see someone with more authority doing something unsafe for patients, they speak up.",pos,74.7,74.7,74.7,yes,0.0
26012,question,C6,"When staff in this unit speak up, those with more authority are open to their patient safety concerns.",pos,74.3,74.3,74.3,yes,0.0
26012,question,C7,"In this unit, staff are afraid to ask questions when something does not seem right.",neg,10.6,10.6,68.9,yes,58.3
26012,question,F1,The actions of hospital management show that patient safety is a top priority.,pos,67.7,67.7,67.7,yes,0.0
26012,question,F2,Hospital management provides adequate resources to improve patient safety.,pos,63.7,63.7,63.7,yes,0.0
26012,question,F3,Hospital management seems interested in patient safety only after an adverse event happens.,neg,39.9,39.9,32.6,yes,-7.3
